hostname,ipaddress,description
CAM_BDU_Lo than 3,10.101.5.30,
CAM_BDU_Sau lo than,10.101.5.34,
CAM_BDU_Ong khoi,10.101.6.249,
CAM_BDU_Ong khoi lo than,10.101.6.127,
CAM_BDU_Ong thuy cap nuoc,10.101.5.240,
CAM_BDU_Xuong co 1,10.101.5.16,
CAM_BDU_Xuong co 2,10.101.6.237,
CAM_BDU_Buong nguyen lieu 1_2,10.101.5.35,
CAM_BDU_Buong nguyen lieu 3_4,10.101.5.36,
CAM_BDU_Tram lo than,10.101.5.245,
CAM_BDU_Cua kho nguyen lieu,10.101.5.33,
CAM_BDU_Phong dong luc my,10.101.6.206,
CAM_BDU_Bao ve cong 1,10.101.6.5,
CAM_BDU_Bao ve cong 2,10.101.5.101,
CAM_BDU_Hang rao mi 1,10.101.6.103,
CAM_BDU_Hang rao mi 2,10.101.6.110,
CAM_BDU_Hang rao mi 3,10.101.6.109,
CAM_BDU_Hang rao mi 4,10.101.5.243,
CAM_BDU_Cua kho hoa chat,10.101.6.105,
CAM_BDU_Kv dau Short,10.101.6.128,
CAM_BDU_Hang rao sau LT 1,10.101.6.112,
CAM_BDU_Hanh lang lo thang 2,10.101.5.20,
CAM_BDU_Hanh lang lo than 1,10.101.6.111,
CAM_BDU_Sau cua chinh,10.101.6.115,
CAM_BDU_May nen mi,10.101.6.126,
CAM_BDU_Hang rao pho 4,10.101.6.119,
CAM_BDU_Hang rao pho 3,10.101.6.116,
CAM_BDU_Hang rao pho 2,10.101.6.120,
CAM_BDU_Hang rau pho 1,10.101.6.121,
CAM_BDU_Bai xe tret 2,10.101.6.123,
CAM_BDU_Bai xe lau 2,10.101.6.124,
CAM_BDU_Khu xe nang,10.101.6.125,
CAM_BDU_Cua kho Carton,10.101.5.32,
CAM_BDU_Cua kho nuoc mam,10.101.6.129,
CAM_BDU_Cua kho XX,10.101.5.182,
CAM_BDU_WC khach,10.101.6.77,
CAM_BDU_Kho vat tu,10.101.6.241,
CAM_BDU_Bai xe tret 1,10.101.6.130,
CAM_BDU_Bai xe lau 1,10.101.6.131,
CAM_BDU_Tram can 1,10.101.6.53,
CAM_BDU_Hang rao rac thai,10.101.6.239,
CAM_BDU_Khu tap ket,10.101.6.132,
CAM_BDU_Hang rao cong 1,10.101.6.133,
CAM_BDU_Hang rao cong 2,10.101.6.134,
CAM_BDU_Bao ve chot 2,10.101.6.208,
CAM_BDU_Kho thanh pham mi,10.101.6.202,Kinh Doanh
CAM_BDU_Xuat hang mi 1,10.101.6.107,
CAM_BDU_Xuat hang mi 2,10.101.6.52,
CAM_BDU_Xuat khau,10.101.6.143,
CAM_BDU_Xuat nhap Pho,10.101.6.13,
CAM_BDU_Nhap hang Pho 1,10.101.5.12,
CAM_BDU_Nhap hang Pho 2,10.101.5.48,
CAM_BDU_Kho thanh pham Pho,10.101.5.214,
CAM_BDU_Nhap hang Kho Mi,10.101.5.19,
CAM_BDU_Kho thanh pham Mi,10.101.6.195,
CAM_BDU_Cuoi kho thanh pham mi,10.101.6.203,
CAM_BDU_Kho xuat nhap Pho,10.101.5.131,
CAM_BDU_Dan lanh kho,10.101.6.145,
CAM_BDU_Cuoi kho,10.101.6.147,
CAM_BDU_Kho xx,10.101.6.204,
CAM_BDU_Kho xuat khau,10.101.6.135,
CAM_BDU_Kho xxxx,10.101.6.196,
CAM_BDU_Van phong kho,10.101.6.205,
CAM_BDU_Bai xe lo gas,10.101.5.3,San xuat Pho
CAM_BDU_Hanh lang lo gas,10.101.5.11,
CAM_BDU_Lo gas 1,10.101.5.2,
CAM_BDU_Lo gas 2,10.101.5.4,
CAM_BDU_Lo gas 3,10.101.5.9,
CAM_BDU_Lo gas 4,10.101.5.10,
CAM_BDU_Lo gas 5,10.101.5.7,
CAM_BDU_Lo gas 6,10.101.5.5,
CAM_BDU_Tram lo gas,10.101.5.8,
CAM_BDU_Tu do nam pho 2,10.101.5.18,
CAM_BDU_Tu do nam pho 1,10.101.5.200,
CAM_BDU_Rua tay nam pho,10.101.6.26,
CAM_BDU_Tu do nu pho 2,10.101.5.110,
CAM_BDU_Tu do nu pho 1,10.101.5.107,
CAM_BDU_Rua tay nu pho,10.101.5.198,
CAM_BDU_Rua tay nu pho Airshower,10.101.5.125,
CAM_BDU_Rua tay nam pho Airshower,10.101.5.129,
CAM_BDU_Phong May,10.101.5.104,
CAM_BDU_Hanh lang pho 2,10.101.5.128,
CAM_BDU_Hanh lang pho 1,10.101.5.4,
CAM_BDU_Hanh lang SDH Line 1,10.101.5.143,
CAM_BDU_Bo khuon line 1,10.101.6.99,
CAM_BDU_Mang lai line bún,10.101.6.95,
CAM_BDU_line 1_2,10.101.6.90,
CAM_BDU_line 3,10.101.6.97,
CAM_BDU_Hanh lang SDH Line 3_4,10.101.5.146,
CAM_BDU_Cua rac,10.101.5.124,
CAM_BDU_NGaM XAY L2_L3,10.101.6.80,
CAM_BDU_Ngam xay bun,10.101.5.105,
CAM_BDU_Ngay xay L1_2,10.101.5.43,
CAM_BDU_Tach mau Nhat,10.101.5.38,
CAM_BDU_Tach mau Han Quoc,10.101.5.103,
CAM_BDU_Tron Phu gia,10.101.5.102,
CAM_BDU_Dao cat 1,10.101.6.98,
CAM_BDU_Bo khuon line 2,10.101.5.231,
CAM_BDU_Dao cat L2_L3,10.101.5.230,
CAM_BDU_Bo khuon bun,10.101.5.41,
CAM_BDU_Hanh Lang SDH Line 2_3,10.101.5.145,
CAM_BDU_Hanh Lang SDH Line 4,10.101.5.147,
CAM_BDU_Phong dieu hanh Pho,10.101.5.222,
CAM_BDU_Cua kho carton San xuat,10.101.5.223,
CAM_BDU_Kho Film SX,10.101.5.116,
CAM_BDU_Kho trung chuyen Pho,10.101.5.215,
CAM_BDU_Dan thung Line 1_2,10.101.5.220,
CAM_BDU_Bo dem pho 1,10.101.5.150,
CAM_BDU_Bo dem pho 2,10.101.5.151,
CAM_BDU_Bo dem pho 3,10.101.5.152,
CAM_BDU_Bo dem pho 4,10.101.5.153,
CAM_BDU_Dan thung line 3_4,10.101.5.221,
CAM_BDU_Xep pallet line 1_2,10.101.6.212,
CAM_BDU_Xep pallet line 2_3_4,10.101.6.213,
CAM_BDU_Kho thanh pham pho 1,10.101.5.214,
CAM_BDU_Kho thanh pham pho 2,10.101.5.216,
CAM_BDU_Dan tui may 1,10.101.5.219,
CAM_BDU_Hat pho sau say line 1,10.101.5.224,
CAM_BDU_May dong goi 1_2,10.101.5.210,
CAM_BDU_Kiem vat sau say line 1_2,10.101.5.226,
CAM_BDU_May dong goi 3_4,10.101.5.234,
CAM_BDU_May dong goi 4_5,10.101.5.217,
CAM_BDU_Kiem vat sau say line 2_3,10.101.5.237,
CAM_BDU_Kiem vat sau say line 4,10.101.5.211,
CAM_BDU_May dong goi 6_7_8,10.101.5.246,
CAM_BDU_Kiem bot may 5_6_7,10.101.5.218,
CAM_BDU_Kiem bot may 3_4_5,10.101.5.248,
CAM_BDU_Hanh Lang SDH Line 1_2,10.101.5.144,
CAM_BDU_Xu ly lieu pho 2,10.101.5.225,
CAM_BDU_Xu ly lieu 1,10.101.6.214,
CAM_BDU_Sau hop Line 1_2,10.101.5.233,
CAM_BDU_Hop Line 1_2,10.101.5.37,
CAM_BDU_Cap Gio,10.101.5.121,
CAM_BDU_Tang luc,10.101.5.127,
CAM_BDU_hop line 3,10.101.5.226,
CAM_BDU_Tron Kho,10.101.5.112,
CAM_BDU_Sau hop Line 3,10.101.5.235,
CAM_BDU_Bun tho,10.101.5.39,
CAM_BDU_Bun tinh,10.101.5.142,
CAM_BDU_Sau say XX,10.101.6.91,
CAM_BDU_Sau say line 2_3,10.101.5.126,
CAM_BDU_Sau say line 1_2,10.101.5.189,
CAM_BDU_Bo khuon line 3,10.101.5.232,
CAM_BDU_Khu vuc say 1,10.101.5.60,
CAM_BDU_Khu vuc say 2,10.101.5.61,
CAM_BDU_Khu vuc say 3,10.101.5.62,
CAM_BDU_Khu vuc say 4,10.101.5.63,
CAM_BDU_Khu vuc say 5,10.101.5.64,
CAM_BDU_Khu vuc say 6,10.101.5.65,
CAM_BDU_Truc luoc line 3 Pho,10.101.5.66,
